sep=,
date,On-peak usage,Off-peak usage,Other-peak,Total delivered,Total produced,Avg temperature
"2020-10-09","18.3348","40.1136","null","58.4484","86.8704","86"
"2020-10-10","null","68.0112","null","68.0112","85.854","83"
"2020-10-11","null","54.0768","null","54.0768","84.9036","81"
"2020-10-12","16.5","48.156","null","64.656","84.1392","83"
"2020-10-13","19.2624","54.8964","null","74.1588","84.5232","84"
"2020-10-14","22.8756","40.4676","null","63.3432","85.5384","83"
"2020-10-15","22.8396","46.2588","null","69.0984","84.5616","84"
"2020-10-16","20.1468","58.0512","null","78.198","82.098","85"
"2020-10-17","null","65.382","null","65.382","76.2444","83"
"2020-10-18","null","49.5348","null","49.5348","82.2648","80"
"2020-10-19","13.62","37.4928","null","51.1128","79.626","81"
"2020-10-20","15.9168","42.0972","null","58.014","79.3656","82"
"2020-10-21","17.364","36.2052","null","53.5692","76.836","82"
"2020-10-22","13.452","36.6996","null","50.1516","78.3528","80"
"2020-10-23","19.272","35.9952","null","55.2672","76.2972","81"
"2020-10-24","null","52.7616","null","52.7616","43.9992","78"
"2020-10-25","null","50.3244","null","50.3244","71.46","78"
"2020-10-26","4.4592","33.8688","null","38.328","84.9984","63"
"2020-10-27","5.8404","34.146","null","39.9864","86.6124","58"
"2020-10-28","7.608","23.2968","null","30.9048","84.5088","59"
"2020-10-29","5.2944","30.57","null","35.8644","83.052","69"
"2020-10-30","5.5608","30.3504","null","35.9112","73.9572","73"
"2020-10-31","null","45.5016","null","45.5016","52.9548","73"
"2020-11-01","null","48.864","null","48.864","73.5756","80"
"2020-11-02","12.7212","33.5376","1.0692","47.328","66.1092","81"
"2020-11-03","15.678","33.6252","0.2268","49.53","70.8888","80"
"2020-11-04","21.1152","34.6956","0.162","55.9728","75.5052","78"
"2020-11-05","21.4524","36.5508","0.0084","58.0116","72.7344","80"
"2020-11-06","13.5648","35.4","5.3148","54.2796","25.758","80"
"2020-11-07","null","54.8904","null","54.8904","61.5276","70"
"2020-11-08","null","36.234","null","36.234","48.3984","59"
