Date,On-Peak-Usage,Off-Peak-Usage,Other-Peak-Usage,Total-Delivered,Production,AVG-Temp,Bill-Start-Date,Bill-End-Date,APS-Solar-Production
2019-05-20,4.518,23.85,,28.368,0.0,67,2019-05-20,2019-06-01,718.8828
2019-05-21,0.6624,16.9668,,17.6292,0.0,69,2019-06-01,2019-07-02,2115.5472
2019-05-22,1.704,15.2568,,16.9608,61.0128,66,2019-07-02,2019-08-01,1903.6691999999998
2019-05-23,0.42,14.988,,15.408,71.7144,65,2019-08-01,2019-09-04,2063.1612
2019-05-24,0.7344,11.2632,,11.9976,76.4592,72,2019-09-04,2019-10-01,1544.5140000000004
2019-05-25,,15.3204,,15.3204,75.3696,78,2019-10-01,2019-11-01,1780.3968
2019-05-26,,13.9764,,13.9764,72.7668,76,2019-11-01,2019-12-03,1331.2812
2019-05-27,,11.3916,,11.3916,77.0232,71,2019-12-03,2020-01-03,1022.1335999999999
2019-05-28,1.098,11.4756,,12.5736,65.6568,73,2020-01-03,2020-02-04,1382.8716
2019-05-29,0.8532,14.4912,,15.3444,73.164,77,2020-02-04,2020-03-04,348.1236
2019-05-30,1.158,12.0108,,13.1688,72.816,84,2020-03-04,2020-04-02,569.106
2019-05-31,0.9612,11.9748,,12.936,72.9,85,2020-04-02,2020-05-01,1920.2879999999998
2019-06-01,,11.9028,,11.9028,70.1712,85,2020-05-01,2020-06-02,2167.1531999999997
2019-06-02,,12.8904,,12.8904,70.8012,83,2020-06-02,2020-07-01,1917.0456000000001
2019-06-03,0.996,12.2352,,13.2312,71.1996,85,2020-07-01,2020-08-04,2004.4788
2019-06-04,1.554,12.2376,,13.7916,63.2148,85,2020-08-04,2020-09-02,1644.7824
2019-06-05,1.0812,13.416,,14.4972,71.0676,89,2020-09-02,2020-10-02,1699.092
2019-06-06,0.924,14.0544,,14.9784,70.4352,90,2020-10-02,2020-11-03,1659.0876
2019-06-07,0.9588,14.2296,,15.1884,70.644,88,2020-11-03,2020-12-02,1281.8208000000002
2019-06-08,,16.152,,16.152,72.3648,87,2020-12-02,2021-01-04,1313.1852000000001
2019-06-09,,18.552,,18.552,66.4224,92,2020-12-02,2021-01-04,1313.1852000000001
2019-06-10,1.1748,15.2868,,16.4616,68.4264,94,,,
2019-06-11,1.5672,16.9092,,18.4764,65.4096,94,,,
2019-06-12,1.2108,16.5768,,17.7876,67.956,96,,,
2019-06-13,12.006,31.29,,43.296,48.6816,95,,,
2019-06-14,0.9252,23.2188,,24.144,71.382,89,,,
2019-06-15,,16.9788,,16.9788,69.3072,92,,,
2019-06-16,,18.432,,18.432,68.67,92,,,
2019-06-17,1.1112,15.5472,,16.6584,70.7652,91,,,
2019-06-18,0.8616,16.4076,,17.2692,71.034,89,,,
2019-06-19,0.8508,14.892,,15.7428,69.7428,87,,,
2019-06-20,0.936,18.4104,,19.3464,71.6712,87,,,
2019-06-21,0.912,16.5948,,17.5068,70.9512,91,,,
2019-06-22,,21.9336,,21.9336,70.5492,90,,,
2019-06-23,,17.052,,17.052,71.0796,89,,,
2019-06-24,0.6204,16.7376,,17.358,70.5468,86,,,
2019-06-25,1.1244,15.174,,16.2984,64.7256,88,,,
2019-06-26,0.7956,15.3204,,16.116,67.3272,89,,,
2019-06-27,1.146,16.398,,17.544,71.4264,89,,,
2019-06-28,0.8556,14.8512,,15.7068,66.0192,91,,,
2019-06-29,,32.4816,,32.4816,63.3,99,,,
2019-06-30,,47.6568,,47.6568,62.436,100,,,
2019-07-01,10.764,31.596,,42.36,67.8192,95,,,
2019-07-02,9.3096,31.5672,,40.8768,68.766,94,,,
2019-07-03,9.8976,29.9124,,39.81,68.9292,93,,,
2019-07-04,,21.7332,,21.7332,69.858,90,,,
2019-07-05,4.7244,11.9352,,16.6596,69.6372,90,,,
2019-07-06,,17.6688,,17.6688,68.1276,93,,,
2019-07-07,,18.5736,,18.5736,62.8644,93,,,
2019-07-08,3.8136,11.466,,15.2796,70.8036,86,,,
2019-07-09,5.4012,12.9084,,18.3096,68.8116,88,,,
2019-07-10,7.7568,15.858,,23.6148,66.156,95,,,
2019-07-11,8.4288,20.3004,,28.7292,57.7212,98,,,
2019-07-12,12.3156,22.5216,,34.8372,52.1124,101,,,
2019-07-13,,79.1232,,79.1232,66.0948,104,,,
2019-07-14,,81.2772,,81.2772,64.9884,99,,,
