sep=,
date,On-peak usage,Off-peak usage,Other-peak,Total delivered,Total produced,Avg temperature
"2020-02-04","3.78","27.9792","0.6156","32.3748","57.2844","43"
"2020-02-05","7.1388","38.2932","2.3136","47.7456","49.0056","46"
"2020-02-06","3.2016","27.096","1.1112","31.4088","54.2748","45"
"2020-02-07","1.8552","26.1792","0.8976","28.932","54.9072","51"
"2020-02-08","null","30.1944","null","30.1944","54.588","56"
"2020-02-09","null","23.9436","null","23.9436","41.7144","56"
"2020-02-10","1.758","14.9388","0.6168","17.3136","36.348","61"
"2020-02-11","2.388","18.996","14.5644","35.9484","0","53"
"2020-02-12","2.688","24.1944","16.3284","43.2108","0","52"
"2020-02-13","3.2424","25.2468","11.6016","40.0908","0","52"
"2020-02-14","2.1996","21.5052","11.8332","35.538","0","57"
"2020-02-15","null","33.51","null","33.51","0.0012","57"
"2020-02-16","null","32.9376","null","32.9376","0","58"
"2020-02-17","null","24.1632","null","24.1632","0","59"
"2020-02-18","2.838","15.27","14.1564","32.2644","0","61"
"2020-02-19","2.3724","15.2892","11.2692","28.9308","0","64"
"2020-02-20","2.4864","13.9392","11.6688","28.0944","0","63"
"2020-02-21","2.652","12.7152","13.9764","29.3436","0","65"
"2020-02-22","null","36.8292","null","36.8292","0","62"
"2020-02-23","null","35.724","null","35.724","0","56"
"2020-02-24","2.8728","16.9104","10.5264","30.3096","0","56"
"2020-02-25","3.7032","17.6592","12.5964","33.9588","0","59"
"2020-02-26","2.3616","18.2568","18.438","39.0564","0","53"
"2020-02-27","2.0292","18.9276","16.014","36.9708","0","57"
"2020-02-28","2.7564","13.4172","11.4288","27.6024","0","61"
"2020-02-29","null","34.0632","null","34.0632","0","63"
"2020-03-01","null","33.9012","null","33.9012","0","62"
"2020-03-02","2.4756","15.264","12.5304","30.27","0","56"
"2020-03-03","3.1428","13.5276","11.7996","28.47","0","60"
