Service address,Service plan,Bill start date,Bill end date,Billing days,Total kWh,Billed amount
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,1/6/2016,2/4/2016,29,1472,167.68
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2/4/2016,3/4/2016,29,1092,126.31
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,3/4/2016,4/4/2016,31,1285,144.58
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,4/4/2016,5/3/2016,29,1223,153.39
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,5/3/2016,6/2/2016,30,1248,164.36
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,6/2/2016,7/1/2016,29,2107,295.89
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,7/1/2016,8/2/2016,32,3452,482.96
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,8/2/2016,9/1/2016,30,2840,409.15
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,9/1/2016,10/3/2016,32,2316,324.72
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,10/3/2016,11/1/2016,29,1556,204.31
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,11/1/2016,12/2/2016,31,1186,147.14
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,12/2/2016,1/4/2017,33,1418,167.13
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,1/4/2017,2/1/2017,28,1355,149.71
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2/1/2017,3/1/2017,28,1149,131.8
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,3/1/2017,4/3/2017,33,1381,161.44
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,4/3/2017,5/2/2017,29,1273,168.01
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,5/2/2017,6/1/2017,30,1273,167.75
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,6/1/2017,7/3/2017,32,2422,345.78
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,7/3/2017,8/2/2017,30,3280,462.72
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,8/2/2017,9/1/2017,30,2752,409.33
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,9/1/2017,10/3/2017,32,2279,353.19
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,10/3/2017,11/1/2017,29,1161,157.66
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,11/1/2017,12/4/2017,33,1152,151.57
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,12/4/2017,1/4/2018,31,1341,168.98
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,1/4/2018,2/2/2018,29,1179,156.81
