Time,System Production (Wh)
07/01/2020,"69037"
07/02/2020,"65177"
07/03/2020,"64915"
07/04/2020,"65694"
07/05/2020,"66580"
07/06/2020,"67314"
07/07/2020,"65746"
07/08/2020,"65729"
07/09/2020,"65372"
07/10/2020,"65009"
07/11/2020,"63466"
07/12/2020,"60440"
07/13/2020,"54693"
07/14/2020,"64372"
07/15/2020,"64481"
07/16/2020,"64165"
07/17/2020,"63742"
07/18/2020,"64957"
07/19/2020,"44114"
07/20/2020,"14904"
07/21/2020,"64371"
07/22/2020,"63673"
07/23/2020,"39921"
07/24/2020,"63597"
07/25/2020,"62797"
07/26/2020,"63989"
07/27/2020,"61412"
07/28/2020,"63712"
07/29/2020,"63916"
07/30/2020,"63522"
07/31/2020,"63532"
