Solar-Exported,On-Peak,Off-Peak,Month,Range,End-Date
601.0,120.0,481.0,Jun,05/20-06/01,2019-06-01
1415.0,275.0,1140.0,Jul,06/01-07/02,2019-07-01
848.0,110.0,738.0,Aug,07/02-08/01,2019-08-01
616.0,69.0,547.0,Sep,08/01-09/04,2019-09-01
654.0,91.0,563.0,Oct,09/04-10/01,2019-10-01
996.0,151.0,845.0,Nov,10/01-11/01,2019-11-01
754.0,92.0,662.0,Dec,11/01-12/03,2019-12-01
534.0,70.0,464.0,Jan,12/03-01/03,2020-01-01
857.0,145.0,712.0,Feb,01/03-02/04,2020-02-01
219.0,49.0,170.0,Mar,02/04-03/04,2020-03-01
395.0,91.0,304.0,Apr,03/04-04/02,2020-04-01
1343.0,296.0,1047.0,May,04/02-05/01,2020-05-01
1453.0,297.0,1156.0,Jun,05/01-06/02,2020-06-01
1234.0,264.0,970.0,Jul,06/02-07/01,2020-07-01
411.0,63.0,348.0,Aug,07/01-08/04,2020-08-01
265.0,27.0,238.0,Sep,08/04-09/02,2020-09-01
518.0,67.0,451.0,Oct,09/02-10/02,2020-10-01
778.0,93.0,685.0,Nov,10/02-11/03,2020-11-01
760.0,93.0,667.0,Dec,11/03-12/02,2020-12-01
774.0,95.0,679.0,Jan,12/02-01/04,2021-01-01
