sep=,
Total received,On-peak usage,Off-peak usage,Month,,
"760.000000","93.000000","667.000000","Dec","11/03-12/02","2020-12-01"
"778.000000","93.000000","685.000000","Nov","10/02-11/03","2020-11-01"
"518.000000","67.000000","451.000000","Oct","09/02-10/02","2020-10-01"
"265.000000","27.000000","238.000000","Sep","08/04-09/02","2020-09-01"
"411.000000","63.000000","348.000000","Aug","07/01-08/04","2020-08-01"
"1234.000000","264.000000","970.000000","Jul","06/02-07/01","2020-07-01"
"1453.000000","297.000000","1156.000000","Jun","05/01-06/02","2020-06-01"
"1343.000000","296.000000","1047.000000","May","04/02-05/01","2020-05-01"
"395.000000","91.000000","304.000000","Apr","03/04-04/02","2020-04-01"
"219.000000","49.000000","170.000000","Mar","02/04-03/04","2020-03-01"
"857.000000","145.000000","712.000000","Feb","01/03-02/04","2020-02-01"
"534.000000","70.000000","464.000000","Jan","12/03-01/03","2020-01-01"
