Address,Service-Plan,Bill-Start-Date,Bill-End-Date,Billing-Days,Billed-Amount,Total-Bought,APS-Solar-Production,Solar-Used,Solar-Exported,Total-Used,SE-Production,adj
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-05-20,2019-06-01,12.0,-33.4,189.0,718.8828,-35.117200000000025,601.0,1436.8827999999999,819.721,1111.0475496188183
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-06-01,2019-07-02,31.0,-49.91,644.0,2115.5472,-41.117200000000025,1415.0,1430.8827999999999,2038.2949999999998,1260.1001301470487
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-07-02,2019-08-01,30.0,151.39,1495.0,1903.6691999999998,-55.117200000000025,848.0,1416.8827999999999,1953.787,1616.9665936508823
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-08-01,2019-09-04,34.0,254.23,2011.0,2063.1612,1119.5472,616.0,2211.5472,1168.905,1862.36486845097
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-09-04,2019-10-01,27.0,125.0,1182.0,1544.5140000000004,1337.5472,654.0,2429.5472,665.8260000000001,2038.9281352256135
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-10-01,2019-11-01,31.0,1.17,590.0,1780.3968,1249.6691999999998,996.0,2534.6692,1776.9499999999998,1919.8224195244673
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-11-01,2019-12-03,32.0,5.32,502.0,1331.2812,1385.6691999999998,754.0,2670.6692,1267.547,1921.5512058378088
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2019-12-03,2020-01-03,31.0,67.23,833.0,1022.1335999999999,1447.1612,534.0,2670.1612,1017.959,1838.4950705796869
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-01-03,2020-02-04,32.0,18.33,737.0,1382.8716,1798.1612,857.0,3021.1612,1372.8029999999999,1640.0470567821815
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-02-04,2020-03-04,29.0,104.28,953.0,348.1236,696.5140000000004,219.0,1944.5140000000004,356.991,1522.6288230585667
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-03-04,2020-04-02,29.0,69.59,826.0,569.106,1133.5140000000004,395.0,2381.514,523.362,1183.9302715204897
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-04-02,2020-05-01,29.0,-80.84,366.0,1920.2879999999998,365.3968,1343.0,2472.3968,1982.8319999999999,1047.711458880995
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-05-01,2020-06-02,32.0,-89.71,448.0,2167.1531999999997,546.3968,1453.0,2653.3968,2097.238,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-06-02,2020-07-01,29.0,-61.18,404.0,1917.0456000000001,730.2811999999999,1234.0,4182.281199999999,1979.2240000000002,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-07-01,2020-08-04,34.0,280.61,2066.0,2004.4788,-121.7188000000001,411.0,3330.2812,1937.032,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-08-04,2020-09-02,29.0,289.94,1950.0,1644.7824,-320.8664000000001,265.0,2519.1336,1635.7329999999997,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-09-02,2020-10-02,30.0,173.96,1339.0,1699.092,987.8716,518.0,3303.8716,1693.393,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-10-02,2020-11-03,32.0,62.64,817.0,1659.0876,129.1236,778.0,1685.1236,1665.6199999999997,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-11-03,2020-12-02,29.0,4.25,465.0,1281.8208000000002,-287.894,760.0,898.106,1287.48,
"24830 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-12-02,2021-01-04,33.0,37.31,780.0,1313.1852000000001,1386.2879999999998,774.0,2804.2879999999996,1330.647,
"24840 N 62 AVE, GLENDALE, AZ, 85310-2731",Saver Choice,2020-12-02,2021-01-04,33.0,37.31,780.0,1313.1852000000001,,,,1330.647,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
